key,type,summary,date_opened,reporter,parent_key,current_epic,current_status,current_resolution,current_assignee,current_labels,proposed_epic,proposed_status,proposed_resolution,proposed_assignee,cat-*,proj-*,study-*,notes
CDM-41,Task,L101 Payments - Unsuccessful Blood Draw,2022-02-22,Lee Ming Sun (inactive),CDM-79,CDM-79,Dismissed,Done,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,proj-sample,study-l101,[Sonnet re-pass] Payments for unsuccessful blood draw — payment trigger tied directly to sample collection event.; L101 payment issue; pre-2026; was Dismissed (Resolution likely 'Done' — backfill to Won't Do)
CDM-44,Goal,Hiring on Pace at >75% of Hiring Plan,2022-02-22,Lee Ming Sun (inactive),CDM-46,CDM-46,To Do,,UNASSIGNED,Functional-Area,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-cross,Hiring pace goal; pre-2026 corporate; deprecated issue type (Goal)
CDM-46,Epic,Corporate Goals,2022-02-22,Lee Ming Sun (inactive),,CDM-46,To Do,,UNASSIGNED,Corporate,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-cross,Corporate goals epic; pre-2026
CDM-58,Subtask,Multi-Cancer Interim Analysis 12/31: Final Recruitment Strategy By February 2022,2022-02-23,Lee Ming Sun (inactive),CDM-20,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-cross,Multi-cancer IA recruitment strategy; pre-2026; [subtask: parent stays at CDM-20; epic inherited]
CDM-59,Subtask,Multi-cancer Interim Analysis 12/31: PM IA Timeline by Mid-Year,2022-02-23,Lee Ming Sun (inactive),CDM-20,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-cross,Multi-cancer IA timeline; pre-2026; [subtask: parent stays at CDM-20; epic inherited]
CDM-60,Subtask,"Multi-cancer Interim Analysis 12/31: Data Cut on September 01, 2022",2022-02-23,Lee Ming Sun (inactive),CDM-20,CDM-46,To Do,,Eric Dixon,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,Eric Dixon,cat-operations,proj-cpt,study-cross,[Sonnet re-pass] Multi-cancer IA: Data Cut on September 2022 — data cut is a CPT/snapshot activity.; Multi-cancer IA data cut Sept 2022; pre-2026; [subtask: parent stays at CDM-20; epic inherited]
CDM-61,Subtask,Multi-cancer Interim Analysis 12/31: Data Clean Mid-October,2022-02-23,Lee Ming Sun (inactive),CDM-20,CDM-46,To Do,,Eric Dixon,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,Eric Dixon,cat-operations,proj-cpt,study-cross,[Sonnet re-pass] Multi-cancer IA: Data Clean mid-October — data cleaning milestone is CPT scope.; Multi-cancer IA data clean; pre-2026; [subtask: parent stays at CDM-20; epic inherited]
CDM-62,Subtask,"Multi-cancer Interim Analysis 12/31: SAP Final by September 01, 2022",2022-02-23,Lee Ming Sun (inactive),CDM-20,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-cross,Multi-cancer IA SAP finalization; pre-2026; [subtask: parent stays at CDM-20; epic inherited]
CDM-63,Subtask,TOO Work: Identify and Secure 1 TOO Partnership Agreement (USOR or MCI) by July 2022,2022-02-23,Lee Ming Sun (inactive),CDM-20,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-cross,TOO partnership agreement identification; pre-2026; [subtask: parent stays at CDM-20; epic inherited]
CDM-64,Subtask,4/30 L201 FPI: EDC Database Live by March 2022,2022-02-23,Lee Ming Sun (inactive),CDM-22,CDM-46,Done,Done,Lee Ming Sun,Departmental,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-operations,proj-edc,study-l201,L201 FPI EDC database live; pre-2026; [subtask: parent stays at CDM-22; epic inherited]
CDM-65,Subtask,4/30 L201 FPI: 3 Sites Activated by March 2022,2022-02-23,Lee Ming Sun (inactive),CDM-22,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-l201,L201 FPI site activation; pre-2026; [subtask: parent stays at CDM-22; epic inherited]
CDM-66,Subtask,4/30 L201 FPI: Website Live,2022-02-23,Lee Ming Sun (inactive),CDM-22,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-l201,L201 FPI website launch; pre-2026; [subtask: parent stays at CDM-22; epic inherited]
CDM-67,Subtask,25% L201 Enrollment Complete: Science37 Enrolling,2022-02-23,Lee Ming Sun (inactive),CDM-22,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-l201,L201 enrollment Science37; pre-2026; [subtask: parent stays at CDM-22; epic inherited]
CDM-68,Subtask,25% L201 Enrollment Complete: 20 Sites Activated,2022-02-23,Lee Ming Sun (inactive),CDM-22,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-l201,L201 20 sites activation; pre-2026; [subtask: parent stays at CDM-22; epic inherited]
CDM-69,Subtask,L101 2/3 Training in Q3: L101-NYU NC/ 2/3 LC Fully Enrolled,2022-02-23,Lee Ming Sun (inactive),CDM-24,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-l101,L101 2/3 training and enrollment; pre-2026; [subtask: parent stays at CDM-24; epic inherited]
CDM-70,Subtask,L101 2/3 Training in Q3: Data Clean for 2/3,2022-02-23,Lee Ming Sun (inactive),CDM-24,CDM-46,To Do,,Eric Dixon,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,Eric Dixon,cat-operations,proj-cpt,study-l101,[Sonnet re-pass] L101 2/3 Training: Data Clean for 2/3 — data cleaning milestone is CPT scope.; L101 2/3 data clean; pre-2026; [subtask: parent stays at CDM-24; epic inherited]
CDM-71,Subtask,L101 2/3 Training in Q3: Analysis Data Ready for Unblind,2022-02-23,Lee Ming Sun (inactive),CDM-24,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-programming,proj-pipeline,study-l101,[Sonnet re-pass] Analysis Data Ready for Unblind — preparing analysis dataset for unblinding is pipeline work.; L101 analysis data readiness; pre-2026; [subtask: parent stays at CDM-24; epic inherited]
CDM-72,Subtask,L101 2/3 Training in Q3: Classifier Locked / Results Submitted,2022-02-23,Lee Ming Sun (inactive),CDM-24,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,proj-av,study-l101,[Sonnet re-pass] Classifier Locked / Results Submitted — classifier lock is core AV workstream.; L101 classifier lock/submit results; pre-2026; [subtask: parent stays at CDM-24; epic inherited]
CDM-73,Subtask,L101 1/3 Analysis Complete: Remaining LC Fully Enrolled,2022-02-23,Lee Ming Sun (inactive),CDM-24,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-l101,L101 1/3 enrollment completion; pre-2026; [subtask: parent stays at CDM-24; epic inherited]
CDM-74,Subtask,L101 1/3 Analysis Complete: Data Clean for 1/3,2022-02-23,Lee Ming Sun (inactive),CDM-24,CDM-46,To Do,,Eric Dixon,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,Eric Dixon,cat-operations,proj-cpt,study-l101,[Sonnet re-pass] L101 1/3 Analysis: Data Clean for 1/3 — data cleaning milestone is CPT scope.; L101 1/3 data clean; pre-2026; [subtask: parent stays at CDM-24; epic inherited]
CDM-75,Subtask,L101 1/3 Analysis Complete: AV/CV Abstracts Submitted Q4,2022-02-23,Lee Ming Sun (inactive),CDM-24,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-reporting,"proj-av,proj-cv",study-l101,[Sonnet re-pass] AV/CV abstracts submitted Q4 — directly references both AV and CV workstreams.; L101 1/3 abstract submission; pre-2026; [subtask: parent stays at CDM-24; epic inherited]
CDM-76,Subtask,L101 1/3 Analysis Complete: Mock Patient Report,2022-02-23,Lee Ming Sun (inactive),CDM-24,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-reporting,proj-cv,study-l101,[Sonnet re-pass] Mock Patient Report under LDT Clinical Validation goal — CV deliverable.; L101 1/3 mock patient report; pre-2026; [subtask: parent stays at CDM-24; epic inherited]
CDM-77,Subtask,L101 1/3 Analysis Complete: Soft Publication Submission,2022-02-23,Lee Ming Sun (inactive),CDM-24,CDM-46,To Do,,UNASSIGNED,Departmental,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-reporting,proj-cv,study-l101,[Sonnet re-pass] Soft publication submission under LDT/CV goal — CV workstream output.; L101 1/3 publication submission; pre-2026; [subtask: parent stays at CDM-24; epic inherited]
CDM-78,Subtask,Hire Research DM,2022-02-23,Lee Ming Sun (inactive),CDM-44,CDM-46,Done,Done,Clarice Grant,Functional-Area,Pre-2026 Legacy,Done,Done,Clarice Grant (inactive),cat-operations,,study-cross,Hire research DM; pre-2026; [subtask: parent stays at CDM-44; epic inherited]
CDM-79,Epic,DELFI-L101,2022-02-23,Lee Ming Sun (inactive),,CDM-79,To Do,,UNASSIGNED,Study,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,proj-cpt,study-l101,"[Sonnet re-pass] DELFI-L101 epic — top-level L101 study container, CPT is the main CDM artifact for this study.; L101 epic; pre-2026"
CDM-80,Epic,DELFI-L201,2022-02-23,Lee Ming Sun (inactive),,CDM-80,To Do,,UNASSIGNED,Study,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,proj-cpt,study-l201,"[Sonnet re-pass] DELFI-L201 epic — top-level L201 study container, CPT is the main CDM artifact for this study.; L201 epic; pre-2026"
CDM-81,Task,Early 12 Month Follow Up Report,2022-02-23,Lee Ming Sun (inactive),CDM-79,CDM-79,Dismissed,Done,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-reporting,proj-metrics,study-l101,"[Sonnet re-pass] Early 12 Month Follow Up Report — standalone follow-up report, metrics/reporting.; L101 12-month follow-up report; pre-2026; was Dismissed (Resolution likely 'Done' — backfill to Won't Do)"
CDM-84,Task,Reports to Program,2022-02-25,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-reporting,proj-metrics,study-l101,[Sonnet re-pass] Reports to Program — parent of several L101 reporting subtasks; cat-reporting.; Reports to program; pre-2026
CDM-86,Task,CDM Team Discussion Topics,2022-02-25,Lee Ming Sun (inactive),,,Dismissed,Done,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-cross,CDM team discussion topics; pre-2026; was Dismissed (Resolution likely 'Done' — backfill to Won't Do)
CDM-87,Subtask,Data handling for age-related PHI (e.g. ages >= 90),2022-02-25,Lee Ming Sun (inactive),CDM-86,,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-cross,PHI age handling; pre-2026; [subtask: parent stays at CDM-86; epic inherited]
CDM-88,Subtask,Additional NYU-BLS LIMS Checks,2022-02-25,Lee Ming Sun (inactive),CDM-84,CDM-79,Done,Done,Lee Ming Sun,NYU,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-operations,proj-pipeline,study-l101,NYU-BLS LIMS checks; pre-2026; [subtask: parent stays at CDM-84; epic inherited]
CDM-89,Subtask,Check to verify that NYU Screening data has associated CT scans,2022-02-25,Lee Ming Sun (inactive),CDM-84,CDM-79,Dismissed,Done,Lee Ming Sun,,Pre-2026 Legacy,Dismissed,Won't Do,Lee Ming Sun (inactive),cat-operations,proj-edc,study-l101,[Sonnet re-pass] Verify NYU Screening data has associated CT scans — EDC data verification check.; NYU screening CT scan verification; pre-2026; was Dismissed (Resolution likely 'Done' — backfill to Won't Do); [subtask: parent stays at CDM-84; epic inherited]
CDM-90,Subtask,Generate Retrospective DTS Shell,2022-02-28,Lee Ming Sun (inactive),CDM-19,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-programming,proj-edc,study-l101,[Sonnet re-pass] Generate Retrospective DTS Shell — DTS is an EDC-side document artifact.; Retrospective DTS shell generation; pre-2026; [subtask: parent stays at CDM-19; epic inherited]
CDM-91,Subtask,Report to flag datapoints buried due to in-form dynamics,2022-02-28,Lee Ming Sun (inactive),CDM-84,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-dqr,study-l101,[Sonnet re-pass] Report to flag datapoints buried due to in-form dynamics — data quality check listing.; Report flagging buried datapoints; pre-2026; [subtask: parent stays at CDM-84; epic inherited]
CDM-92,Task,Create a spreadsheet for all forms/fields in L201 to facilitate a meeting for critical variables to SDV,2022-03-03,Lee Ming Sun (inactive),CDM-80,CDM-80,Done,Done,Lee Ming Sun,,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-programming,proj-edc,study-l201,L201 forms/fields spreadsheet; pre-2026
CDM-93,Subtask,"Report to check for CA.LNHISYN == ""No"" against reported CT data",2022-03-03,Lee Ming Sun (inactive),CDM-84,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-dqr,study-l101,[Sonnet re-pass] Report to check CA.LNHISYN == 'No' against CT data — cross-check DQR listing.; CA.LNHISYN vs CT data check; pre-2026; [subtask: parent stays at CDM-84; epic inherited]
CDM-110,Task,Study Dashboard Updates,2022-03-10,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-reporting,proj-metrics,study-l101,L101 study dashboard updates; pre-2026
CDM-111,Subtask,Priority Subject List Generation,2022-03-10,Lee Ming Sun (inactive),CDM-110,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-metrics,study-l101,Priority subject list generation; pre-2026; [subtask: parent stays at CDM-110; epic inherited]
CDM-112,Subtask,Add Assigned CRA to Subject Summary Tab,2022-03-10,Lee Ming Sun (inactive),CDM-110,CDM-79,Done,Done,Lee Ming Sun,,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-reporting,proj-metrics,study-l101,CRA assignment to subjects; pre-2026; [subtask: parent stays at CDM-110; epic inherited]
CDM-113,Subtask,Figure Out How to Distinguish Unclean Subjects Due to Incomplete Enrollment Visit vs Expected 12 Month Follow Up vs Incomplete 12 Month Follow Up (After Entry),2022-03-10,Lee Ming Sun (inactive),CDM-110,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-metrics,study-l101,Subject status distinction logic; pre-2026; [subtask: parent stays at CDM-110; epic inherited]
CDM-114,Subtask,CRA Monitoring Tracker for ClinOps,2022-03-10,Lee Ming Sun (inactive),CDM-84,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-reporting,proj-metrics,study-l101,CRA monitoring tracker for ops; pre-2026; [subtask: parent stays at CDM-84; epic inherited]
CDM-115,Task,Intro to R,2022-03-30,Lee Ming Sun (inactive),,,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-programming,,study-cross,R training; pre-2026
CDM-116,Subtask,Find a R course that goes over R-Shiny,2022-03-30,Lee Ming Sun (inactive),CDM-115,,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-cross,R-Shiny course research; pre-2026; [subtask: parent stays at CDM-115; epic inherited]
CDM-117,Subtask,Read up on dplyr package,2022-03-30,Lee Ming Sun (inactive),CDM-115,,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,,study-cross,dplyr package study; pre-2026; [subtask: parent stays at CDM-115; epic inherited]
CDM-120,Task,Review FU dataset component data export to ensure all expected variables are being exported,2022-03-30,Lee Ming Sun (inactive),,,Done,Done,Lee Ming Sun,,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-operations,proj-pipeline,study-cross,FU dataset export validation; pre-2026
CDM-121,Task,Set up AWS Credentials for Accessing S3,2022-03-31,Lee Ming Sun (inactive),,,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-operations,proj-pipeline,study-cross,[Sonnet re-pass] Set up AWS Credentials for Accessing S3 — infra/access setup for data pipeline work.; AWS S3 credentials setup; pre-2026
CDM-122,Task,EDC Build v2.0,2022-03-31,Lee Ming Sun (inactive),CDM-80,CDM-80,Done,Done,Lee Ming Sun,,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-operations,proj-edc,study-l201,L201 EDC build v2.0; pre-2026
CDM-123,Subtask,Edit Check Specifications,2022-03-31,Lee Ming Sun (inactive),CDM-122,CDM-80,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,proj-edc,study-l201,Edit check specifications; pre-2026; [subtask: parent stays at CDM-122; epic inherited]
CDM-124,Subtask,tSDV Specifications,2022-03-31,Lee Ming Sun (inactive),CDM-122,CDM-80,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,proj-edc,study-l201,tSDV specifications; pre-2026; [subtask: parent stays at CDM-122; epic inherited]
CDM-125,Subtask,SUAT,2022-03-31,Lee Ming Sun (inactive),CDM-122,CDM-80,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,proj-edc,study-l201,SUAT; pre-2026; [subtask: parent stays at CDM-122; epic inherited]
CDM-126,Task,Update System Access Requests Confluence Page,2022-04-01,Lee Ming Sun (inactive),,,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-operations,,study-cross,System access requests page update; pre-2026
CDM-127,Subtask,Non-Qualifying Enrollment CT Scans,2022-04-01,Lee Ming Sun (inactive),CDM-84,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-dqr,study-l101,[Sonnet re-pass] Non-Qualifying Enrollment CT Scans — exclusion-criteria check listing under Reports to Program.; Non-qualifying enrollment CT scans; pre-2026; [subtask: parent stays at CDM-84; epic inherited]
CDM-128,Task,Report Extraction Tracker Metrics,2022-04-04,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-reporting,proj-metrics,study-l101,Report extraction tracker metrics; pre-2026
CDM-129,Task,L101 Query Summary Report,2022-04-04,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-reporting,proj-metrics,study-l101,"[Sonnet re-pass] L101 Query Summary Report — standalone query summary report, metrics/reporting.; L101 query summary report; pre-2026"
CDM-130,Task,Azenta Shipping Manifest Generation,2022-04-07,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-programming,proj-sample,study-l101,Azenta shipping manifest generation; pre-2026
CDM-131,Subtask,Generate First Shipment,2022-04-07,Lee Ming Sun (inactive),CDM-130,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-programming,proj-sample,study-l101,First shipment generation; pre-2026; [subtask: parent stays at CDM-130; epic inherited]
CDM-132,Subtask,Generate Second Shipment,2022-04-07,Lee Ming Sun (inactive),CDM-130,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-sample,study-l101,Second shipment generation; pre-2026; [subtask: parent stays at CDM-130; epic inherited]
CDM-133,Task,Validation for DELFI-L201 Smoking History Calculator v1.0,2022-04-13,Lee Ming Sun (inactive),CDM-80,CDM-80,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-operations,proj-edc,study-l201,[Sonnet re-pass] Validation for DELFI-L201 Smoking History Calculator v1.0 — calculator validation is EDC configuration work.; Smoking history calculator validation; pre-2026
CDM-135,Task,Inclusion #7 Listing for ClinOps,2022-04-14,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-dqr,study-l101,Inclusion criteria 7 listing; pre-2026
