cdm_key,testcdm_key,type,summary,match_quality,notes
CDM-573,TESTCDM-91,Subtask,"Update the ""Report Extraction Status (Enrollment)"" & ""Report Extraction Status (12 Month)"" to note when all reports are extracted or no report is available",exact,
CDM-574,TESTCDM-92,Subtask,Update dqr review status column for MM and ClinOps,exact,
CDM-575,TESTCDM-93,Subtask,Add page status listing of premier sites,exact,
CDM-576,TESTCDM-94,Subtask,add query reports,exact,
CDM-582,TESTCDM-95,Subtask,Update premier page status listing columns,exact,
CDM-592,TESTCDM-96,Subtask,update clinops review to cdm reviews,exact,
CDM-604,TESTCDM-97,Subtask,Remove role dependent assignment mutate statements,exact,
CDM-189,TESTCDM-98,Task,DELFI-L101 Site Payment Updates for Site 121 & 153,exact,
CDM-192,TESTCDM-99,Task,DELFI-L101 BUG Fix - CRA Metrics Summary ,exact,
CDM-196,TESTCDM-100,Task,DELFI-L101 Review Protocol Deviations & Manual Exclusions in Preparation for MCED IA Sample Selection,exact,
CDM-199,TESTCDM-101,Task,Review L101 pipeline code for protocol amendment 5 changes,exact,
CDM-206,TESTCDM-102,Subtask,DELFI-L101 Generate component datasets for BC_MSK & IC_MSK,exact,
CDM-208,TESTCDM-103,Subtask,DELFI-L101 Export CRF Data,exact,
CDM-209,TESTCDM-104,Subtask,DELFI-L101 EDC LIMS Reconciliation - Incorporate MSK Data,exact,
CDM-210,TESTCDM-105,Subtask,DELFI-L101 Export CRF Metadata - Incorporate MSK Data,exact,
CDM-211,TESTCDM-106,Subtask,DELFI-L101 Cancer Status Review - Incorporate MSK Data,exact,
CDM-212,TESTCDM-107,Subtask,DELFI-L101 12 Month Cancer Outcomes Review - Incorporate MSK Data,exact,
CDM-214,TESTCDM-108,Subtask,DELFI-L101 Inclusion 2-4 Review - Incorporate MSK Data,exact,
CDM-215,TESTCDM-109,Subtask,DELFI-L101 Inclusion 5 Review - Incorporate MSK Data,exact,
CDM-216,TESTCDM-110,Subtask,DELFI-L101 Export CRF Data ic_subjects.tsv,exact,
CDM-217,TESTCDM-111,Subtask,DELFI-L101 Exclusion 1 Review - Incorporate MSK Data,exact,
CDM-218,TESTCDM-112,Subtask,DELFI-L101 Exclusion 2 Review - Incorporate MSK Data,exact,
CDM-219,TESTCDM-113,Subtask,DELFI-L101 	 Medrio Calculated Values - Incorporate MSK Data,exact,
CDM-220,TESTCDM-114,Subtask,DELFI-L101 Blood Sample Collection Pathology Dates - Incorporate MSK Data,exact,
CDM-221,TESTCDM-115,Subtask,DELFI-L101 Report Extraction Date Verification - Incorporate MSK Data,exact,
CDM-222,TESTCDM-116,Subtask,DELFI-L101 Inclusion 7 Review - Incorporate MSK Data,exact,
CDM-223,TESTCDM-117,Subtask,DELFI-L101 Protocol Deviation Review - Incorporate MSK Data,exact,
CDM-242,TESTCDM-118,Subtask,DELFI-L101: Incorporate MSK subjects into Non-Cancer Status Review,exact,
CDM-203,TESTCDM-119,Task,DELFI-L101 Sample Timeline Outputs,exact,
CDM-205,TESTCDM-120,Task,DELFI-L101 Subject Information - Add MCED IA Subjects With Selected Samples,exact,
CDM-207,TESTCDM-121,Subtask,Add Samples_Selected_2022_MCED_IA column to CPT,exact,
CDM-229,TESTCDM-122,Task,DELFI-L101 Exclusion 2 Review,exact,
CDM-231,TESTCDM-123,Task,DELFI-L101: Update Subject Info evaluation for ldt validation,exact,
CDM-232,TESTCDM-124,Task,DELFI-L101: Site Payments ,collision-resolved,"shared summary with 1 other(s); picked lowest unused: CDM-232 from ['CDM-232', 'CDM-316']"
CDM-254,TESTCDM-125,Task,DELFI-L101: Report Extraction Date Verification,exact,
CDM-256,TESTCDM-126,Subtask,Typo fix: File Deletion Required?,collision-resolved,shared summary with 1 other(s); picked first unused
CDM-259,TESTCDM-127,Task,DELFI-L101: Projected 12 Month Follow Up Visit Report,exact,
CDM-262,TESTCDM-128,Task,DELFI-L101 Clean Patient Tracker,exact,
CDM-227,TESTCDM-129,Subtask,DELFI-L101: Clean Patient Tracker - Update Evaluation and Priority Column,exact,
CDM-233,TESTCDM-130,Subtask,DELFI-L101: Update FU12_Expected data to 14-Feb-2023,exact,
CDM-238,TESTCDM-131,Subtask,DELFI-L101: Clean Patient Tracker - add LDT Testing Subject List - Monitoring & Cleaning column,exact,
CDM-279,TESTCDM-132,Subtask,Update Samples_Selected_2022_MCED_IA with AV_Cross_Reactivity_Subject_List in CPT,exact,
CDM-230,TESTCDM-133,Subtask,DELFI-L101: Clean Patient Tracker - Update Expected_FU,exact,
CDM-313,TESTCDM-134,Subtask,Update Priority_LDT_Train variable to reference FU_12M_Expected_LDT_Training instead of FU_12M_Expected,exact,
CDM-314,TESTCDM-135,Subtask,Update Clean Status values to show if FU data is missing for more than for weeks past expected date  ,exact,
CDM-315,TESTCDM-136,Subtask,"Deprecate/Hide columns: ""LDT Testing Subject List - Monitoring and Cleaning"" & ""AV 2023 Samples?""",exact,
CDM-357,TESTCDM-137,Subtask,Update 'Clean Status' for withdrawn subjects,exact,
CDM-358,TESTCDM-138,Subtask,Update Priority column values,exact,
CDM-382,TESTCDM-139,Subtask,Update priority column to include Cohort C subjects,exact,
CDM-386,TESTCDM-140,Subtask,Add 'Cleaning Metrics' sheet to CPT to summarize 2023 cleaning goals progress,exact,
CDM-419,TESTCDM-141,Subtask,Update priority column for end of year milestones 2023,exact,
CDM-420,TESTCDM-142,Subtask,Update cleaning metrics sheet based on end of year milestones 2023,exact,
CDM-431,TESTCDM-143,Subtask,Add cleaning metrics for the L101 V1 Rerun participants ,exact,
CDM-434,TESTCDM-144,Subtask,Add new priority for Cohort A subjects included in CT,exact,
CDM-435,TESTCDM-145,Subtask,"Update Clean_Status_FU derivation so that L101 V1 Rerun participants enrolled after 31Oct2022 are no longer labeled ""Not Applicable""",exact,
CDM-440,TESTCDM-146,Subtask,Evaluation Column: Remove references to OCT 31,exact,
CDM-444,TESTCDM-147,Subtask,Cleaning Metrics Tab: Remove 2023 EOY Goal related metric columns & Add in Overall Clean Metrics for L101 V1 Rerun release,exact,
CDM-445,TESTCDM-148,Subtask,Update priority column to remove EOY Goal priorities,exact,
CDM-455,TESTCDM-149,Subtask,Update Clean_Status_FU remove reference to Evaluation,exact,
CDM-460,TESTCDM-150,Subtask,Update Evaluation column and cleaning metrics to include LDT CT/CV participants,exact,
CDM-461,TESTCDM-151,Subtask,Add function to clear the Subject Summary sheet before writing out updated table,exact,
CDM-464,TESTCDM-152,Subtask,Update Evaluation Column and Priority Column,exact,
CDM-465,TESTCDM-153,Subtask,Update Cleaning Metrics to remove L101 Rerun and LDT CT-CV sections,exact,
CDM-466,TESTCDM-154,Subtask,Create Cohort C Cleaning Metrics sheet,exact,
CDM-487,TESTCDM-155,Subtask,Update Evaluation Column for CV Q3 2024 release,exact,
CDM-488,TESTCDM-156,Subtask,Update Clean Status column: Not expected blood sample collection should not impact clean status,exact,
CDM-489,TESTCDM-157,Subtask,Create cleaning metrics for the CV Q3 2024 release,exact,
CDM-490,TESTCDM-158,Subtask,Update evaluation column to include sites that are closing out,exact,
CDM-491,TESTCDM-159,Subtask,Add Follow-up Expected date to 27JUL24,exact,
CDM-495,TESTCDM-160,Subtask,Update Clean Status Column to reference new expected follow-up date,exact,
CDM-496,TESTCDM-161,Subtask,Update Cleaning Metrics - CVQ3_L101 to include % of cases with at lease 1 evaluable aliquot,exact,
CDM-498,TESTCDM-162,Subtask,Update evaluations column to reference final sample selection listing from CDS,exact,
CDM-499,TESTCDM-163,Subtask,Add combined cleaning metrics table for CVQ3 participants,exact,
CDM-501,TESTCDM-164,Subtask,Update priority column to reference upcoming site visit schedule,exact,
CDM-510,TESTCDM-165,Subtask,"Update Evaluation Column, Priority Column, and Add Cleaning Metrics table for site closure and cro onboarding",exact,
CDM-533,TESTCDM-166,Subtask,Remove NYU FANSS participants from populating CPT,exact,
CDM-558,TESTCDM-167,Subtask,Update CRO Sites Transition & Site Closures google sheet url,exact,
CDM-561,TESTCDM-168,Subtask,"Update Priority Column to incorporate ""Premier IMV Date"" column from the DELFI-L101: Site Management Tracker.",exact,
CDM-565,TESTCDM-169,Subtask,Update CPT Metrics for CV 2025 and Database Lock,exact,
CDM-595,TESTCDM-170,Subtask,Update DELFI-L101 Monitoring Visit & Visit Report Tracker link,exact,
CDM-600,TESTCDM-171,Subtask,Update Overall Clean Status for participants without Blood Samples,exact,
CDM-602,TESTCDM-172,Subtask,Update dt_CPT_Site (CPT Site Summary sheet) clean columns so that the status includes all participants,exact,
CDM-603,TESTCDM-173,Subtask,Update clean status for participants with samples without volume,exact,
CDM-606,TESTCDM-174,Subtask,Update clean status for samples that were shipped but did not arrive at Azenta,exact,
CDM-607,TESTCDM-175,Subtask,Update clean status for participants that were withdrawn but did not complete the blood sample collection eCRF,exact,
CDM-269,TESTCDM-176,Task,DELFI-L101: Posit Connect CDM Pipeline Development,exact,
CDM-278,TESTCDM-177,Task,DELFI-L101 Subject Information Table,exact,
CDM-263,TESTCDM-178,Subtask,Update FU date references from 14FEB2023 to 08MAR2023 & 31MAR2023,exact,
CDM-276,TESTCDM-179,Subtask,Update 'Evaluation' column for LDT Validation ,exact,
CDM-277,TESTCDM-180,Subtask,Update 'AV 2023 Samples?' column to only include Cohort C ,exact,
CDM-290,TESTCDM-181,Subtask,Update 'AV 2023 Samples?' column to include CDS derived variable group for AV subjects,exact,
CDM-291,TESTCDM-182,Subtask,Update FU_12M_Expected variable to include CDS derived variable group for AV subjects,exact,
CDM-292,TESTCDM-183,Subtask,Update Evaluation variable to include CDS derived variable group for AV subjects,exact,
CDM-310,TESTCDM-184,Subtask,Update FU date reference 31OCT2023,exact,
CDM-311,TESTCDM-185,Subtask,Update FU_12M_Expected & Evaluation variables for Q4 2023 cleaning activities,exact,
CDM-312,TESTCDM-186,Subtask,Update Evaluation variable to include all subjects with value based on enrollment date,exact,
CDM-428,TESTCDM-187,Subtask,Update Evaluation variable to identify L101 V1 Re-Run subject list,exact,
CDM-441,TESTCDM-188,Subtask,Update blood_collection_date to new variable name BCDAT,exact,
CDM-454,TESTCDM-189,Subtask,Update FU_12M_Expected variable for March 22nd data release date,exact,
CDM-462,TESTCDM-190,Subtask,Update the export_clinical_data file to include the newly added blood collection fields,exact,
CDM-571,TESTCDM-191,Subtask,Update Evaluation to include all CRO sites ,exact,
CDM-286,TESTCDM-192,Task,DELFI-L101: Site 120 12 Month Internal Form Data Entry Check,exact,
CDM-327,TESTCDM-193,Subtask,Update output to prod file and add distinct() function to google sheet read in function,exact,
CDM-289,TESTCDM-194,Task,DELFI-L101: Subject Transfer - Site 104 to Site 119,exact,
CDM-322,TESTCDM-195,Subtask,Apply data quality review and report review records for subjects transferred from Site 104 to Site 119,exact,
CDM-297,TESTCDM-196,Task,DELFI-L101-NYU Screening Data Pipeline Scripts,exact,
CDM-298,TESTCDM-197,Subtask,Update pipeline scripts for data extraction,collision-resolved,"shared summary with 1 other(s); picked lowest unused: CDM-298 from ['CDM-298', 'CDM-300']"
CDM-299,TESTCDM-198,Task,DELFI-L101-NYU Bronchoscopy Data Pipeline Scripts,exact,
CDM-300,TESTCDM-199,Subtask,Update pipeline scripts for data extraction,collision-resolved,shared summary with 1 other(s); picked first unused
CDM-301,TESTCDM-200,Task,DELFI-L101-NYU Surgery Data Pipeline Scripts,collision-resolved,"shared summary with 1 other(s); picked lowest unused: CDM-301 from ['CDM-301', 'CDM-302']"
CDM-302,TESTCDM-201,Task,DELFI-L101-NYU Surgery Data Pipeline Scripts,collision-resolved,shared summary with 1 other(s); picked first unused
CDM-303,TESTCDM-202,Subtask,Update Cohort Assignment Review Listing,exact,
CDM-316,TESTCDM-203,Task,DELFI-L101: Site Payments,collision-resolved,shared summary with 1 other(s); picked first unused
CDM-317,TESTCDM-204,Subtask,Update Payments Tracker sheet to include all payment events,exact,
CDM-381,TESTCDM-205,Subtask,Update Payment Tracker RE_FU and Follow-Up Payment column derivations,exact,
CDM-383,TESTCDM-206,Subtask,Add DELFI-L101: Site Payments to the cdm_monorepo ,exact,
CDM-422,TESTCDM-207,Subtask,Replace UAT google sheets with Production google sheets ,exact,
CDM-319,TESTCDM-208,Task,"L101: Update export_clean_patient_tracker() to remove ""Priority"" and ""LDT Train 2022 Samples?"" columns.",exact,
CDM-320,TESTCDM-209,Task,L101 add Priority column for the LDT validation cleaning efforts to the export_clean_patient_tracker() ,exact,
CDM-333,TESTCDM-210,Task,DELFI-L101: Prior Cancer History & FU Cancer Review,exact,
CDM-360,TESTCDM-211,Subtask,Correct function name for the Prior Cancer History & FU Cancer Review,exact,
CDM-363,TESTCDM-212,Subtask,DELFI-L101: Prior Cancer History & FU Cancer Review: Update s3 file output locations to DQR folders,exact,
CDM-364,TESTCDM-213,Subtask,DELFI-L101: Prior Cancer History & FU Cancer Review - s3 output file creates a new row in the table for cells that have a line return character,exact,
CDM-400,TESTCDM-214,Subtask,"Re-apply dropped ""ClinOps Reviewer Date""",exact,
CDM-452,TESTCDM-215,Subtask,Update listing to only include 12 Month Medical Record Reviews completed and SDV'd by July 14th 2023,exact,
CDM-338,TESTCDM-216,Task,DELFI-L101: Chest CT Scan Type Reconciliation Review,exact,
CDM-341,TESTCDM-217,Task,DELFI-L101:  Pending Discontinuation Review,exact,
CDM-213,TESTCDM-218,Subtask,DQR Listing: Subjects Pending Discontinuation,exact,
CDM-252,TESTCDM-219,Subtask,DELFI-L101: Pending Discontinuation Review - Remove Pending Report Extraction Derivation,exact,
CDM-240,TESTCDM-220,Subtask,DELF-L101: Pending Discontinuation Review update,exact,
CDM-342,TESTCDM-221,Subtask,DELFI-L101: Pending Discontinuation Review - remove duplicate rows,exact,
CDM-414,TESTCDM-222,Subtask,"Subject 124-001 is pulling in the Unscheduled Visit ""Blood Sample Collection"" eCRF instead of Enrollment Visit eCRF",exact,
CDM-343,TESTCDM-223,Task,DELFI-L101 LDT Training & Validation Clean Status List Generation,exact,
CDM-348,TESTCDM-224,Task,DELFI-L101: Cancer Status Review,exact,
CDM-198,TESTCDM-225,Subtask,DELFI-L101 BUG FIX: Cancer Status Review ,exact,
CDM-235,TESTCDM-226,Subtask,DELFI-L101 Cancer Status Review - fix typo in filter statement,exact,
CDM-403,TESTCDM-227,Subtask,"Add ""Staging Type"" variable to the Cancer Status Review",exact,
CDM-424,TESTCDM-228,Subtask,"Update ""Ready for Review"" column to include site 300 and cohort a edge cases ",exact,
CDM-459,TESTCDM-229,Subtask,Update Ready for Review column for Cohort A participants,exact,
CDM-549,TESTCDM-230,Subtask,Update Review Ready variable to remove report and crf SDV requirement,collision-resolved,shared summary with 1 other(s); picked first unused
CDM-548,TESTCDM-231,Subtask,Add new fields from cohort assignment eCRF for review,exact,
CDM-593,TESTCDM-232,Subtask,"Add Subject Status, Reason for withdrawal, Inclusion/Exclusion Met, and Sample Collection Performed columns",exact,
CDM-349,TESTCDM-233,Task,DELFI-L101: Non-Cancer Status Review,exact,
CDM-578,TESTCDM-234,Subtask,"Add ""Imaging Type"" to Non-Cancer Status Review",exact,
CDM-350,TESTCDM-235,Task,DELFI-L101: EDC vs LIMS Reconciliation,exact,
CDM-388,TESTCDM-236,Subtask,Bug fix: `Aliquot Suffix` read in as a list,exact,
CDM-563,TESTCDM-237,Subtask,Add gcptools function to clear sheet prior to write function,exact,
CDM-572,TESTCDM-238,Subtask,dt_crf_lims_5() generating a list during tidyr pivot function,exact,
CDM-351,TESTCDM-239,Task,DELFI-L101: Inclusion #2-4 Review,exact,
CDM-352,TESTCDM-240,Task,DELFI-L101: Inclusion #5 Review,exact,
CDM-470,TESTCDM-241,Subtask,Add remove_duplicates to gcptools gs_read function to remove duplicate records,exact,
CDM-353,TESTCDM-242,Task,DELFI-L101: Medrio Calculated Values,exact,
CDM-365,TESTCDM-243,Task,DELFI-L101: AFT Report ,exact,
CDM-405,TESTCDM-244,Subtask,Add Cohort Assignment and Cancer Type,exact,
CDM-507,TESTCDM-245,Subtask,Fix aft report generation to include gcptools and awstools,exact,
CDM-393,TESTCDM-246,Task,DELFI-L101: LIMS Lab Derived Data Table,exact,
CDM-394,TESTCDM-247,Subtask,Read surf files as parquet type instead of .tsv,exact,
CDM-395,TESTCDM-248,Task,DELFI-L101: Monitoring Visit & Visit Report Tracker - IMV Report Metrics,exact,
CDM-398,TESTCDM-249,Task,DELFI-L101: Adhoc request - MM review of scan type variable for Cohort A subjects,exact,
CDM-412,TESTCDM-250,Task,DELFI-L101: Remove duplicates from all google sheet data quality review read in functions,exact,
CDM-436,TESTCDM-251,Task,DELFI-L101 V1 Rerun Clean Status List Generation ,exact,
CDM-437,TESTCDM-252,Subtask,DELFI-L101 V1 Rerun Clean Status List Generation 08DEC2023,exact,
CDM-443,TESTCDM-253,Subtask,DELFI-L101 V2 Rerun L101 V1 Rerun (Second Informal Release) Clean Status List Generation 02JAN2024,exact,
CDM-463,TESTCDM-254,Subtask,DELFI-L101 V2 Rerun L101 V1 Rerun (Formal Release) Clean Status List Generation 17APR2024,exact,
CDM-442,TESTCDM-255,Task,DELFI-L101: Chest CT Scan Type Cohort Indeterminate Reconciliation,exact,
CDM-502,TESTCDM-256,Subtask,Create a new sheet to track the Chest CT Scan type for Cohort B participants in the L101 CV Q3 2024 release.,exact,
CDM-448,TESTCDM-257,Task,DELFI-L101: Lung Cancer TNM vs Stage Review,exact,
CDM-453,TESTCDM-258,Subtask,Add ADCH derived cancer stage column,exact,
CDM-456,TESTCDM-259,Subtask,Add cases missing overall stage and m score for review,exact,
CDM-556,TESTCDM-260,Subtask,DELFI-L101 Lung Cancer Diagnosis TNM & Stage Review: Remove Evaluation from final join ,exact,
CDM-581,TESTCDM-261,Subtask,"Add M1 and M1d to ""Derived Cancer Stage (Based on TNM)"" column as ""IV""",exact,
CDM-457,TESTCDM-262,Task,DELFI-L101: Buried Data Field Report,exact,
CDM-458,TESTCDM-263,Subtask,Update join function to allow for empty tables,exact,
CDM-599,TESTCDM-264,Subtask,Include STAGETYP field and update write out length,exact,
CDM-493,TESTCDM-265,Task,Medrio variables to be added to clinical_l101datar ,exact,
CDM-494,TESTCDM-266,Subtask,Add MUPRDIAG to clinical_l101datar pipeline,exact,
CDM-528,TESTCDM-267,Subtask,Add new fields from Medrio v21 update,exact,
CDM-503,TESTCDM-268,Task,DELFI-L101: Chest CT Scan Type CV Q3 2024 Review,exact,
CDM-504,TESTCDM-269,Subtask,Refactor code for CV_Q3_2024 scan type review,exact,
CDM-555,TESTCDM-270,Subtask,DELFI-L101: Chest CT Scan Type CV Q3 2024 Review - Remove Evaluation from final join ,exact,
CDM-509,TESTCDM-271,Task,DELFI-L101 CV Q3 2024 Clean Subjects List Generation,exact,
CDM-525,TESTCDM-272,Task,DELFI-L101: GRN Report,exact,
CDM-546,TESTCDM-273,Task,DELFI-L101: Premier Report Extraction Adhoc report,exact,
CDM-566,TESTCDM-274,Task,DELFI-L101: Protocol Deviation Review,exact,
CDM-567,TESTCDM-275,Subtask,Upload Premier Deviation records to the DELFI-L101 s3 location ,exact,
CDM-568,TESTCDM-276,Subtask,Update the Protocol Deviation Review to include pd's identified by premier for cross-functional team review. ,exact,
